INFO:root:Number of parameters: 272282
INFO:root:000: Acc-tr:  25.53, Acc-val:  24.92, L-tr: 2.1278, L-val: 2.1393
INFO:root:001: Acc-tr:  27.26, Acc-val:  26.69, L-tr: 2.1211, L-val: 2.1383
INFO:root:002: Acc-tr:  32.13, Acc-val:  30.68, L-tr: 2.0424, L-val: 2.0792
INFO:root:003: Acc-tr:  35.46, Acc-val:  33.32, L-tr: 1.9828, L-val: 2.0329
INFO:root:004: Acc-tr:  39.87, Acc-val:  37.15, L-tr: 1.9206, L-val: 1.9860
INFO:root:005: Acc-tr:  39.49, Acc-val:  35.66, L-tr: 1.9113, L-val: 2.0017
INFO:root:006: Acc-tr:  40.09, Acc-val:  35.15, L-tr: 1.9019, L-val: 2.0045
INFO:root:007: Acc-tr:  42.22, Acc-val:  37.22, L-tr: 1.8586, L-val: 1.9909
INFO:root:008: Acc-tr:  43.71, Acc-val:  37.77, L-tr: 1.8235, L-val: 1.9830
INFO:root:009: Acc-tr:  47.13, Acc-val:  39.70, L-tr: 1.7566, L-val: 1.9561
INFO:root:010: Acc-tr:  46.75, Acc-val:  37.96, L-tr: 1.7522, L-val: 1.9986
INFO:root:011: Acc-tr:  45.84, Acc-val:  36.89, L-tr: 1.7634, L-val: 2.0177
INFO:root:012: Acc-tr:  44.47, Acc-val:  35.03, L-tr: 1.7866, L-val: 2.1121
INFO:root:013: Acc-tr:  46.31, Acc-val:  35.64, L-tr: 1.7273, L-val: 2.0811
INFO:root:014: Acc-tr:  46.85, Acc-val:  34.94, L-tr: 1.7122, L-val: 2.0800
INFO:root:015: Acc-tr:  50.40, Acc-val:  36.20, L-tr: 1.6219, L-val: 2.0632
INFO:root:016: Acc-tr:  49.27, Acc-val:  34.10, L-tr: 1.6412, L-val: 2.1122
INFO:root:017: Acc-tr:  45.61, Acc-val:  31.82, L-tr: 1.7438, L-val: 2.3202
INFO:root:018: Acc-tr:  52.32, Acc-val:  35.26, L-tr: 1.5538, L-val: 2.1224
INFO:root:019: Acc-tr:  45.46, Acc-val:  29.77, L-tr: 1.7499, L-val: 2.4186
INFO:root:020: Acc-tr:  51.58, Acc-val:  32.34, L-tr: 1.5603, L-val: 2.2144
INFO:root:021: Acc-tr:  54.34, Acc-val:  34.06, L-tr: 1.4931, L-val: 2.1473
INFO:root:022: Acc-tr:  52.77, Acc-val:  31.62, L-tr: 1.4973, L-val: 2.3390
INFO:root:023: Acc-tr:  54.17, Acc-val:  30.70, L-tr: 1.4518, L-val: 2.4007
INFO:root:024: Acc-tr:  55.58, Acc-val:  32.89, L-tr: 1.4309, L-val: 2.2340
INFO:root:025: Acc-tr:  57.59, Acc-val:  30.61, L-tr: 1.3662, L-val: 2.4816
INFO:root:026: Acc-tr:  56.33, Acc-val:  30.09, L-tr: 1.3791, L-val: 2.3420
INFO:root:027: Acc-tr:  57.23, Acc-val:  30.92, L-tr: 1.3589, L-val: 2.4506
INFO:root:028: Acc-tr:  47.07, Acc-val:  26.43, L-tr: 1.7372, L-val: 3.0528
INFO:root:029: Acc-tr:  58.63, Acc-val:  28.60, L-tr: 1.2933, L-val: 2.5263
INFO:root:030: Acc-tr:  61.95, Acc-val:  30.54, L-tr: 1.1993, L-val: 2.6824
INFO:root:031: Acc-tr:  60.40, Acc-val:  29.00, L-tr: 1.2614, L-val: 2.4101
INFO:root:032: Acc-tr:  61.28, Acc-val:  30.43, L-tr: 1.2246, L-val: 2.7882
INFO:root:033: Acc-tr:  55.83, Acc-val:  27.84, L-tr: 1.3875, L-val: 2.9047
INFO:root:034: Acc-tr:  62.47, Acc-val:  29.45, L-tr: 1.1837, L-val: 2.8172
INFO:root:035: Acc-tr:  56.12, Acc-val:  27.00, L-tr: 1.4098, L-val: 3.2096
INFO:root:036: Acc-tr:  59.61, Acc-val:  28.42, L-tr: 1.3069, L-val: 3.3275
INFO:root:037: Acc-tr:  66.31, Acc-val:  27.85, L-tr: 1.0574, L-val: 2.6626
INFO:root:038: Acc-tr:  61.61, Acc-val:  26.87, L-tr: 1.1830, L-val: 3.0522
INFO:root:039: Acc-tr:  69.89, Acc-val:  28.70, L-tr: 0.9441, L-val: 2.7336
INFO:root:040: Acc-tr:  67.91, Acc-val:  27.50, L-tr: 0.9968, L-val: 2.8818
INFO:root:041: Acc-tr:  67.92, Acc-val:  27.21, L-tr: 0.9927, L-val: 2.8984
INFO:root:042: Acc-tr:  63.11, Acc-val:  26.11, L-tr: 1.1117, L-val: 3.0806
INFO:root:043: Acc-tr:  63.73, Acc-val:  26.46, L-tr: 1.0970, L-val: 3.1726
INFO:root:044: Acc-tr:  71.83, Acc-val:  28.43, L-tr: 0.8764, L-val: 2.9860
INFO:root:045: Acc-tr:  67.19, Acc-val:  25.90, L-tr: 1.0092, L-val: 3.3017
INFO:root:046: Acc-tr:  65.69, Acc-val:  26.42, L-tr: 1.0797, L-val: 3.6494
INFO:root:047: Acc-tr:  68.22, Acc-val:  25.95, L-tr: 0.9692, L-val: 3.2864
INFO:root:048: Acc-tr:  72.33, Acc-val:  27.41, L-tr: 0.8512, L-val: 3.4862
INFO:root:049: Acc-tr:  69.45, Acc-val:  26.25, L-tr: 0.9176, L-val: 3.3692
INFO:root:050: Acc-tr:  64.25, Acc-val:  24.75, L-tr: 1.0609, L-val: 3.4550
INFO:root:051: Acc-tr:  76.22, Acc-val:  28.66, L-tr: 0.7421, L-val: 3.0278
INFO:root:052: Acc-tr:  71.44, Acc-val:  26.62, L-tr: 0.8504, L-val: 3.3414
INFO:root:053: Acc-tr:  72.37, Acc-val:  26.65, L-tr: 0.8422, L-val: 3.1879
INFO:root:054: Acc-tr:  69.95, Acc-val:  27.66, L-tr: 0.9134, L-val: 3.3820
INFO:root:055: Acc-tr:  65.96, Acc-val:  25.77, L-tr: 1.0451, L-val: 3.5466
INFO:root:056: Acc-tr:  61.82, Acc-val:  21.97, L-tr: 1.1084, L-val: 3.3898
INFO:root:057: Acc-tr:  76.00, Acc-val:  25.15, L-tr: 0.7521, L-val: 3.0764
INFO:root:058: Acc-tr:  68.12, Acc-val:  23.77, L-tr: 0.9363, L-val: 3.2766
INFO:root:059: Acc-tr:  74.04, Acc-val:  25.54, L-tr: 0.8014, L-val: 3.1881
INFO:root:060: Acc-tr:  75.97, Acc-val:  26.01, L-tr: 0.7362, L-val: 3.2899
INFO:root:061: Acc-tr:  72.59, Acc-val:  25.07, L-tr: 0.8361, L-val: 3.8026
INFO:root:062: Acc-tr:  76.21, Acc-val:  26.71, L-tr: 0.7182, L-val: 3.4958
INFO:root:063: Acc-tr:  71.24, Acc-val:  24.69, L-tr: 0.8647, L-val: 3.8007
INFO:root:064: Acc-tr:  73.32, Acc-val:  25.99, L-tr: 0.8133, L-val: 3.7408
INFO:root:065: Acc-tr:  62.23, Acc-val:  23.03, L-tr: 1.1793, L-val: 4.0890
INFO:root:066: Acc-tr:  77.60, Acc-val:  26.14, L-tr: 0.6656, L-val: 3.6206
INFO:root:067: Acc-tr:  70.32, Acc-val:  23.62, L-tr: 0.8925, L-val: 3.8004
INFO:root:068: Acc-tr:  75.73, Acc-val:  25.87, L-tr: 0.7163, L-val: 3.5991
INFO:root:069: Acc-tr:  71.02, Acc-val:  24.36, L-tr: 0.8822, L-val: 3.9449
INFO:root:070: Acc-tr:  77.92, Acc-val:  25.10, L-tr: 0.6602, L-val: 3.5495
INFO:root:071: Acc-tr:  74.05, Acc-val:  23.45, L-tr: 0.7827, L-val: 3.5848
INFO:root:072: Acc-tr:  75.61, Acc-val:  24.73, L-tr: 0.7169, L-val: 3.6539
INFO:root:073: Acc-tr:  75.35, Acc-val:  23.63, L-tr: 0.7373, L-val: 3.9424
INFO:root:074: Acc-tr:  79.70, Acc-val:  26.50, L-tr: 0.6178, L-val: 3.4343
INFO:root:075: Acc-tr:  67.89, Acc-val:  22.34, L-tr: 0.9843, L-val: 3.9889
INFO:root:076: Acc-tr:  75.31, Acc-val:  22.59, L-tr: 0.7422, L-val: 3.3058
