INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  10.56, Acc-val:   9.68, L-tr: 2.3054, L-val: 2.3059
INFO:root:001: Acc-tr:  10.30, Acc-val:  10.14, L-tr: 2.3037, L-val: 2.3057
INFO:root:002: Acc-tr:  10.76, Acc-val:  10.17, L-tr: 2.3028, L-val: 2.3047
INFO:root:003: Acc-tr:  10.55, Acc-val:   9.72, L-tr: 2.3028, L-val: 2.3058
INFO:root:004: Acc-tr:  10.82, Acc-val:   9.98, L-tr: 2.3014, L-val: 2.3056
INFO:root:005: Acc-tr:  11.36, Acc-val:  10.23, L-tr: 2.2993, L-val: 2.3041
INFO:root:006: Acc-tr:  11.37, Acc-val:   9.73, L-tr: 2.3014, L-val: 2.3063
INFO:root:007: Acc-tr:  10.60, Acc-val:   9.97, L-tr: 2.2990, L-val: 2.3063
INFO:root:008: Acc-tr:  12.30, Acc-val:   9.81, L-tr: 2.2958, L-val: 2.3062
INFO:root:009: Acc-tr:  12.86, Acc-val:   9.97, L-tr: 2.2930, L-val: 2.3070
INFO:root:010: Acc-tr:  12.65, Acc-val:  10.08, L-tr: 2.2937, L-val: 2.3125
INFO:root:011: Acc-tr:  12.84, Acc-val:  10.53, L-tr: 2.2940, L-val: 2.3129
INFO:root:012: Acc-tr:  13.13, Acc-val:   9.62, L-tr: 2.2873, L-val: 2.3168
INFO:root:013: Acc-tr:  13.01, Acc-val:   9.99, L-tr: 2.2841, L-val: 2.3226
INFO:root:014: Acc-tr:  14.35, Acc-val:   9.92, L-tr: 2.2750, L-val: 2.3220
INFO:root:015: Acc-tr:  14.50, Acc-val:  10.17, L-tr: 2.2800, L-val: 2.3313
INFO:root:016: Acc-tr:  14.93, Acc-val:   9.52, L-tr: 2.2683, L-val: 2.3227
INFO:root:017: Acc-tr:  17.71, Acc-val:  10.10, L-tr: 2.2387, L-val: 2.3311
INFO:root:018: Acc-tr:  17.92, Acc-val:   9.63, L-tr: 2.2308, L-val: 2.3424
INFO:root:019: Acc-tr:  17.67, Acc-val:  10.23, L-tr: 2.2288, L-val: 2.3437
INFO:root:020: Acc-tr:  18.44, Acc-val:   9.75, L-tr: 2.2062, L-val: 2.3678
INFO:root:021: Acc-tr:  20.67, Acc-val:   9.95, L-tr: 2.1867, L-val: 2.3593
INFO:root:022: Acc-tr:  18.05, Acc-val:  10.13, L-tr: 2.2353, L-val: 2.4717
INFO:root:023: Acc-tr:  25.00, Acc-val:   9.80, L-tr: 2.1028, L-val: 2.4101
INFO:root:024: Acc-tr:  25.87, Acc-val:   9.82, L-tr: 2.1090, L-val: 2.5194
INFO:root:025: Acc-tr:  25.03, Acc-val:   9.97, L-tr: 2.0965, L-val: 2.5414
INFO:root:026: Acc-tr:  28.22, Acc-val:  10.04, L-tr: 2.0364, L-val: 2.4727
INFO:root:027: Acc-tr:  22.63, Acc-val:  10.22, L-tr: 2.0944, L-val: 2.6579
INFO:root:028: Acc-tr:  29.51, Acc-val:  10.18, L-tr: 1.9776, L-val: 2.6882
INFO:root:029: Acc-tr:  31.89, Acc-val:   9.55, L-tr: 1.8875, L-val: 2.6966
INFO:root:030: Acc-tr:  33.70, Acc-val:   9.83, L-tr: 1.8884, L-val: 2.7867
INFO:root:031: Acc-tr:  36.96, Acc-val:   9.72, L-tr: 1.7793, L-val: 2.8757
INFO:root:032: Acc-tr:  34.68, Acc-val:  10.17, L-tr: 1.8349, L-val: 2.9761
INFO:root:033: Acc-tr:  29.07, Acc-val:  10.17, L-tr: 2.0195, L-val: 3.4415
INFO:root:034: Acc-tr:  48.03, Acc-val:  10.06, L-tr: 1.5409, L-val: 2.8637
INFO:root:035: Acc-tr:  35.89, Acc-val:   9.88, L-tr: 1.8337, L-val: 3.3849
