INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  60.06, Acc-val:  58.81, L-tr: 1.1207, L-val: 1.1573
INFO:root:001: Acc-tr:  71.36, Acc-val:  69.72, L-tr: 0.8311, L-val: 0.9032
INFO:root:002: Acc-tr:  75.78, Acc-val:  73.50, L-tr: 0.6929, L-val: 0.7821
INFO:root:003: Acc-tr:  81.65, Acc-val:  77.72, L-tr: 0.5173, L-val: 0.6560
INFO:root:004: Acc-tr:  84.22, Acc-val:  78.87, L-tr: 0.4574, L-val: 0.6214
INFO:root:005: Acc-tr:  80.09, Acc-val:  74.89, L-tr: 0.5662, L-val: 0.7459
INFO:root:006: Acc-tr:  84.11, Acc-val:  77.55, L-tr: 0.4749, L-val: 0.7112
INFO:root:007: Acc-tr:  88.92, Acc-val:  81.14, L-tr: 0.3173, L-val: 0.5538
INFO:root:008: Acc-tr:  85.54, Acc-val:  78.52, L-tr: 0.4280, L-val: 0.7048
INFO:root:009: Acc-tr:  85.24, Acc-val:  77.90, L-tr: 0.4213, L-val: 0.7312
INFO:root:010: Acc-tr:  88.68, Acc-val:  79.78, L-tr: 0.3157, L-val: 0.6460
INFO:root:011: Acc-tr:  88.40, Acc-val:  79.09, L-tr: 0.3271, L-val: 0.6913
INFO:root:012: Acc-tr:  89.35, Acc-val:  79.20, L-tr: 0.3010, L-val: 0.6802
INFO:root:013: Acc-tr:  91.22, Acc-val:  79.88, L-tr: 0.2484, L-val: 0.6486
INFO:root:014: Acc-tr:  91.92, Acc-val:  80.50, L-tr: 0.2242, L-val: 0.6376
INFO:root:015: Acc-tr:  92.52, Acc-val:  80.15, L-tr: 0.2110, L-val: 0.6679
INFO:root:016: Acc-tr:  92.26, Acc-val:  80.87, L-tr: 0.2090, L-val: 0.6721
INFO:root:017: Acc-tr:  88.39, Acc-val:  77.56, L-tr: 0.3372, L-val: 0.8895
INFO:root:018: Acc-tr:  93.19, Acc-val:  81.09, L-tr: 0.1903, L-val: 0.6925
INFO:root:019: Acc-tr:  89.34, Acc-val:  78.53, L-tr: 0.3142, L-val: 0.8737
INFO:root:020: Acc-tr:  92.70, Acc-val:  79.92, L-tr: 0.2101, L-val: 0.7425
INFO:root:021: Acc-tr:  94.38, Acc-val:  81.02, L-tr: 0.1582, L-val: 0.6968
INFO:root:022: Acc-tr:  92.79, Acc-val:  79.62, L-tr: 0.2112, L-val: 0.7952
INFO:root:023: Acc-tr:  91.07, Acc-val:  78.94, L-tr: 0.2437, L-val: 0.8462
INFO:root:024: Acc-tr:  92.08, Acc-val:  78.75, L-tr: 0.2296, L-val: 0.8337
INFO:root:025: Acc-tr:  94.94, Acc-val:  81.07, L-tr: 0.1457, L-val: 0.7447
INFO:root:026: Acc-tr:  94.07, Acc-val:  80.73, L-tr: 0.1683, L-val: 0.7186
INFO:root:027: Acc-tr:  93.64, Acc-val:  79.75, L-tr: 0.1850, L-val: 0.8347
INFO:root:028: Acc-tr:  93.67, Acc-val:  80.33, L-tr: 0.1857, L-val: 0.8233
INFO:root:029: Acc-tr:  92.70, Acc-val:  79.19, L-tr: 0.2072, L-val: 0.8417
INFO:root:030: Acc-tr:  93.73, Acc-val:  80.27, L-tr: 0.1799, L-val: 0.8173
INFO:root:031: Acc-tr:  95.40, Acc-val:  81.74, L-tr: 0.1323, L-val: 0.7253
INFO:root:032: Acc-tr:  96.19, Acc-val:  81.23, L-tr: 0.1092, L-val: 0.7416
INFO:root:033: Acc-tr:  91.33, Acc-val:  77.45, L-tr: 0.2610, L-val: 0.9676
INFO:root:034: Acc-tr:  96.63, Acc-val:  82.06, L-tr: 0.0969, L-val: 0.7164
INFO:root:035: Acc-tr:  96.05, Acc-val:  81.57, L-tr: 0.1120, L-val: 0.6838
INFO:root:036: Acc-tr:  93.97, Acc-val:  79.34, L-tr: 0.1707, L-val: 0.8269
INFO:root:037: Acc-tr:  95.06, Acc-val:  80.52, L-tr: 0.1402, L-val: 0.7892
INFO:root:038: Acc-tr:  90.49, Acc-val:  78.40, L-tr: 0.3049, L-val: 1.0180
INFO:root:039: Acc-tr:  94.25, Acc-val:  79.56, L-tr: 0.1607, L-val: 0.8886
INFO:root:040: Acc-tr:  94.10, Acc-val:  80.54, L-tr: 0.1651, L-val: 0.7997
INFO:root:041: Acc-tr:  94.71, Acc-val:  80.94, L-tr: 0.1485, L-val: 0.8062
INFO:root:042: Acc-tr:  95.68, Acc-val:  81.46, L-tr: 0.1246, L-val: 0.7835
INFO:root:043: Acc-tr:  94.23, Acc-val:  78.93, L-tr: 0.1682, L-val: 0.8224
INFO:root:044: Acc-tr:  93.74, Acc-val:  79.87, L-tr: 0.1773, L-val: 0.8751
INFO:root:045: Acc-tr:  94.24, Acc-val:  80.29, L-tr: 0.1596, L-val: 0.7805
