INFO:root:Number of parameters: 77850
INFO:root:000: Acc-tr:  19.43, Acc-val:  20.14, L-tr: 2.2547, L-val: 2.2552
INFO:root:001: Acc-tr:  29.09, Acc-val:  28.36, L-tr: 2.0967, L-val: 2.1138
INFO:root:002: Acc-tr:  32.31, Acc-val:  31.03, L-tr: 2.0573, L-val: 2.0871
INFO:root:003: Acc-tr:  33.64, Acc-val:  32.06, L-tr: 2.0326, L-val: 2.0660
INFO:root:004: Acc-tr:  34.63, Acc-val:  32.69, L-tr: 2.0195, L-val: 2.0671
INFO:root:005: Acc-tr:  36.71, Acc-val:  34.82, L-tr: 1.9874, L-val: 2.0392
INFO:root:006: Acc-tr:  30.46, Acc-val:  28.94, L-tr: 2.1319, L-val: 2.1855
INFO:root:007: Acc-tr:  37.32, Acc-val:  34.47, L-tr: 1.9851, L-val: 2.0525
INFO:root:008: Acc-tr:  37.68, Acc-val:  34.60, L-tr: 1.9860, L-val: 2.0669
INFO:root:009: Acc-tr:  38.26, Acc-val:  35.28, L-tr: 1.9629, L-val: 2.0493
INFO:root:010: Acc-tr:  38.09, Acc-val:  34.57, L-tr: 1.9585, L-val: 2.0475
INFO:root:011: Acc-tr:  38.19, Acc-val:  34.67, L-tr: 1.9562, L-val: 2.0526
INFO:root:012: Acc-tr:  38.80, Acc-val:  35.70, L-tr: 1.9404, L-val: 2.0287
INFO:root:013: Acc-tr:  40.79, Acc-val:  37.46, L-tr: 1.9081, L-val: 2.0239
INFO:root:014: Acc-tr:  37.08, Acc-val:  34.59, L-tr: 1.9841, L-val: 2.0971
INFO:root:015: Acc-tr:  35.03, Acc-val:  31.95, L-tr: 2.0670, L-val: 2.1978
INFO:root:016: Acc-tr:  39.28, Acc-val:  35.07, L-tr: 1.9256, L-val: 2.0590
INFO:root:017: Acc-tr:  40.60, Acc-val:  36.33, L-tr: 1.8975, L-val: 2.0409
INFO:root:018: Acc-tr:  38.61, Acc-val:  34.39, L-tr: 1.9598, L-val: 2.1066
INFO:root:019: Acc-tr:  40.94, Acc-val:  36.17, L-tr: 1.8781, L-val: 2.0322
INFO:root:020: Acc-tr:  45.02, Acc-val:  39.76, L-tr: 1.7978, L-val: 1.9849
INFO:root:021: Acc-tr:  45.28, Acc-val:  39.70, L-tr: 1.7892, L-val: 1.9955
INFO:root:022: Acc-tr:  45.39, Acc-val:  39.56, L-tr: 1.7838, L-val: 2.0116
INFO:root:023: Acc-tr:  45.83, Acc-val:  39.80, L-tr: 1.7691, L-val: 2.0068
INFO:root:024: Acc-tr:  46.04, Acc-val:  39.76, L-tr: 1.7667, L-val: 2.0217
INFO:root:025: Acc-tr:  46.22, Acc-val:  39.59, L-tr: 1.7599, L-val: 2.0263
INFO:root:026: Acc-tr:  46.33, Acc-val:  39.82, L-tr: 1.7528, L-val: 2.0254
INFO:root:027: Acc-tr:  46.32, Acc-val:  39.52, L-tr: 1.7515, L-val: 2.0381
INFO:root:028: Acc-tr:  46.66, Acc-val:  39.55, L-tr: 1.7415, L-val: 2.0305
INFO:root:029: Acc-tr:  46.57, Acc-val:  39.42, L-tr: 1.7425, L-val: 2.0410
INFO:root:030: Acc-tr:  46.38, Acc-val:  38.89, L-tr: 1.7410, L-val: 2.0501
INFO:root:031: Acc-tr:  47.23, Acc-val:  39.44, L-tr: 1.7183, L-val: 2.0337
INFO:root:032: Acc-tr:  46.19, Acc-val:  38.41, L-tr: 1.7369, L-val: 2.0593
INFO:root:033: Acc-tr:  46.99, Acc-val:  38.93, L-tr: 1.7199, L-val: 2.0542
INFO:root:034: Acc-tr:  46.94, Acc-val:  39.13, L-tr: 1.7193, L-val: 2.0559
INFO:root:035: Acc-tr:  46.62, Acc-val:  38.79, L-tr: 1.7212, L-val: 2.0678
INFO:root:036: Acc-tr:  47.16, Acc-val:  38.63, L-tr: 1.7054, L-val: 2.0532
INFO:root:037: Acc-tr:  47.20, Acc-val:  38.47, L-tr: 1.7108, L-val: 2.0741
INFO:root:038: Acc-tr:  46.96, Acc-val:  38.19, L-tr: 1.7072, L-val: 2.0718
INFO:root:039: Acc-tr:  47.66, Acc-val:  39.21, L-tr: 1.6888, L-val: 2.0539
INFO:root:040: Acc-tr:  47.67, Acc-val:  38.96, L-tr: 1.6802, L-val: 2.0579
INFO:root:041: Acc-tr:  47.92, Acc-val:  39.20, L-tr: 1.6761, L-val: 2.0574
INFO:root:042: Acc-tr:  47.87, Acc-val:  39.21, L-tr: 1.6786, L-val: 2.0606
INFO:root:043: Acc-tr:  47.94, Acc-val:  39.17, L-tr: 1.6762, L-val: 2.0632
INFO:root:044: Acc-tr:  48.03, Acc-val:  39.15, L-tr: 1.6727, L-val: 2.0646
INFO:root:045: Acc-tr:  48.10, Acc-val:  39.04, L-tr: 1.6702, L-val: 2.0624
INFO:root:046: Acc-tr:  47.99, Acc-val:  38.79, L-tr: 1.6721, L-val: 2.0639
INFO:root:047: Acc-tr:  48.03, Acc-val:  38.97, L-tr: 1.6697, L-val: 2.0624
INFO:root:048: Acc-tr:  48.24, Acc-val:  39.05, L-tr: 1.6655, L-val: 2.0628
INFO:root:049: Acc-tr:  48.37, Acc-val:  38.97, L-tr: 1.6638, L-val: 2.0636
INFO:root:050: Acc-tr:  48.24, Acc-val:  39.07, L-tr: 1.6660, L-val: 2.0681
INFO:root:051: Acc-tr:  48.13, Acc-val:  38.92, L-tr: 1.6688, L-val: 2.0704
INFO:root:052: Acc-tr:  48.11, Acc-val:  38.73, L-tr: 1.6659, L-val: 2.0688
INFO:root:053: Acc-tr:  48.18, Acc-val:  38.69, L-tr: 1.6657, L-val: 2.0704
INFO:root:054: Acc-tr:  48.22, Acc-val:  38.62, L-tr: 1.6664, L-val: 2.0737
INFO:root:055: Acc-tr:  48.35, Acc-val:  38.69, L-tr: 1.6626, L-val: 2.0728
INFO:root:056: Acc-tr:  48.33, Acc-val:  38.84, L-tr: 1.6630, L-val: 2.0772
INFO:root:057: Acc-tr:  48.56, Acc-val:  38.86, L-tr: 1.6579, L-val: 2.0735
INFO:root:058: Acc-tr:  48.42, Acc-val:  38.95, L-tr: 1.6591, L-val: 2.0785
INFO:root:059: Acc-tr:  48.64, Acc-val:  38.81, L-tr: 1.6541, L-val: 2.0752
INFO:root:060: Acc-tr:  48.56, Acc-val:  38.81, L-tr: 1.6558, L-val: 2.0750
INFO:root:061: Acc-tr:  48.63, Acc-val:  38.75, L-tr: 1.6532, L-val: 2.0753
INFO:root:062: Acc-tr:  48.49, Acc-val:  38.76, L-tr: 1.6566, L-val: 2.0743
