INFO:root:Number of parameters: 175066
INFO:root:000: Acc-tr:  27.83, Acc-val:  27.32, L-tr: 2.1058, L-val: 2.1134
INFO:root:001: Acc-tr:  32.83, Acc-val:  32.03, L-tr: 2.0282, L-val: 2.0545
INFO:root:002: Acc-tr:  34.24, Acc-val:  31.79, L-tr: 2.0138, L-val: 2.0512
INFO:root:003: Acc-tr:  36.55, Acc-val:  33.91, L-tr: 1.9769, L-val: 2.0407
INFO:root:004: Acc-tr:  36.32, Acc-val:  33.67, L-tr: 1.9860, L-val: 2.0538
INFO:root:005: Acc-tr:  35.70, Acc-val:  32.60, L-tr: 1.9910, L-val: 2.0739
INFO:root:006: Acc-tr:  42.14, Acc-val:  37.37, L-tr: 1.8679, L-val: 1.9879
INFO:root:007: Acc-tr:  41.34, Acc-val:  36.30, L-tr: 1.8808, L-val: 2.0195
INFO:root:008: Acc-tr:  43.91, Acc-val:  37.89, L-tr: 1.8267, L-val: 1.9850
INFO:root:009: Acc-tr:  45.21, Acc-val:  37.21, L-tr: 1.7867, L-val: 1.9946
INFO:root:010: Acc-tr:  42.06, Acc-val:  35.06, L-tr: 1.8407, L-val: 2.0501
INFO:root:011: Acc-tr:  40.03, Acc-val:  31.91, L-tr: 1.8736, L-val: 2.1296
INFO:root:012: Acc-tr:  45.92, Acc-val:  35.73, L-tr: 1.7465, L-val: 2.0495
INFO:root:013: Acc-tr:  44.28, Acc-val:  34.99, L-tr: 1.7804, L-val: 2.0494
INFO:root:014: Acc-tr:  43.48, Acc-val:  32.67, L-tr: 1.7845, L-val: 2.1801
INFO:root:015: Acc-tr:  46.72, Acc-val:  33.53, L-tr: 1.7006, L-val: 2.1140
INFO:root:016: Acc-tr:  39.24, Acc-val:  28.57, L-tr: 1.8963, L-val: 2.3644
INFO:root:017: Acc-tr:  48.57, Acc-val:  33.28, L-tr: 1.6282, L-val: 2.1846
INFO:root:018: Acc-tr:  51.35, Acc-val:  34.82, L-tr: 1.5578, L-val: 2.1630
