INFO:root:Number of parameters: 77850
INFO:root:000: Acc-tr:  10.01, Acc-val:   9.77, L-tr: 2.3091, L-val: 2.3111
INFO:root:001: Acc-tr:  10.20, Acc-val:  10.30, L-tr: 2.3050, L-val: 2.3047
INFO:root:002: Acc-tr:  10.49, Acc-val:  10.61, L-tr: 2.3026, L-val: 2.3031
INFO:root:003: Acc-tr:  10.52, Acc-val:  10.17, L-tr: 2.3028, L-val: 2.3046
INFO:root:004: Acc-tr:  10.50, Acc-val:  10.17, L-tr: 2.3020, L-val: 2.3033
INFO:root:005: Acc-tr:  10.26, Acc-val:   9.90, L-tr: 2.3037, L-val: 2.3052
INFO:root:006: Acc-tr:  10.54, Acc-val:  10.06, L-tr: 2.3038, L-val: 2.3059
INFO:root:007: Acc-tr:   9.98, Acc-val:   9.98, L-tr: 2.3028, L-val: 2.3047
INFO:root:008: Acc-tr:  10.83, Acc-val:  10.16, L-tr: 2.3033, L-val: 2.3064
INFO:root:009: Acc-tr:  10.59, Acc-val:   9.88, L-tr: 2.3042, L-val: 2.3071
INFO:root:010: Acc-tr:  10.52, Acc-val:  10.09, L-tr: 2.3024, L-val: 2.3049
INFO:root:011: Acc-tr:  10.54, Acc-val:  10.14, L-tr: 2.3023, L-val: 2.3045
INFO:root:012: Acc-tr:  10.60, Acc-val:   9.97, L-tr: 2.3033, L-val: 2.3062
INFO:root:013: Acc-tr:  10.77, Acc-val:  10.09, L-tr: 2.3026, L-val: 2.3047
INFO:root:014: Acc-tr:  10.65, Acc-val:   9.71, L-tr: 2.3027, L-val: 2.3066
INFO:root:015: Acc-tr:  11.13, Acc-val:   9.80, L-tr: 2.3013, L-val: 2.3051
INFO:root:016: Acc-tr:  10.91, Acc-val:   9.80, L-tr: 2.3008, L-val: 2.3047
INFO:root:017: Acc-tr:  10.74, Acc-val:   9.80, L-tr: 2.3019, L-val: 2.3064
INFO:root:018: Acc-tr:  10.97, Acc-val:   9.98, L-tr: 2.3009, L-val: 2.3063
INFO:root:019: Acc-tr:  11.06, Acc-val:   9.93, L-tr: 2.3002, L-val: 2.3053
INFO:root:020: Acc-tr:  11.59, Acc-val:  10.02, L-tr: 2.2985, L-val: 2.3050
INFO:root:021: Acc-tr:  11.64, Acc-val:  10.00, L-tr: 2.2981, L-val: 2.3059
INFO:root:022: Acc-tr:  11.72, Acc-val:  10.09, L-tr: 2.2975, L-val: 2.3058
INFO:root:023: Acc-tr:  11.88, Acc-val:   9.89, L-tr: 2.2972, L-val: 2.3067
