INFO:root:Number of parameters: 175066
INFO:root:000: Acc-tr:  55.45, Acc-val:  54.32, L-tr: 1.3200, L-val: 1.3529
INFO:root:001: Acc-tr:  69.04, Acc-val:  67.54, L-tr: 0.8832, L-val: 0.9420
INFO:root:002: Acc-tr:  72.54, Acc-val:  70.16, L-tr: 0.7775, L-val: 0.8510
INFO:root:003: Acc-tr:  76.39, Acc-val:  73.30, L-tr: 0.6791, L-val: 0.7773
INFO:root:004: Acc-tr:  81.40, Acc-val:  77.23, L-tr: 0.5409, L-val: 0.6722
INFO:root:005: Acc-tr:  82.70, Acc-val:  77.41, L-tr: 0.4961, L-val: 0.6698
INFO:root:006: Acc-tr:  81.39, Acc-val:  75.55, L-tr: 0.5315, L-val: 0.7345
INFO:root:007: Acc-tr:  85.65, Acc-val:  78.65, L-tr: 0.4041, L-val: 0.6264
INFO:root:008: Acc-tr:  87.14, Acc-val:  79.37, L-tr: 0.3655, L-val: 0.6239
INFO:root:009: Acc-tr:  89.97, Acc-val:  81.08, L-tr: 0.2953, L-val: 0.5774
INFO:root:010: Acc-tr:  85.87, Acc-val:  77.42, L-tr: 0.3990, L-val: 0.6984
INFO:root:011: Acc-tr:  88.74, Acc-val:  78.73, L-tr: 0.3165, L-val: 0.6695
INFO:root:012: Acc-tr:  84.60, Acc-val:  74.96, L-tr: 0.4351, L-val: 0.8334
INFO:root:013: Acc-tr:  87.98, Acc-val:  78.06, L-tr: 0.3283, L-val: 0.7316
INFO:root:014: Acc-tr:  91.74, Acc-val:  80.64, L-tr: 0.2368, L-val: 0.6481
INFO:root:015: Acc-tr:  92.03, Acc-val:  79.97, L-tr: 0.2244, L-val: 0.6505
INFO:root:016: Acc-tr:  88.40, Acc-val:  77.33, L-tr: 0.3276, L-val: 0.8276
INFO:root:017: Acc-tr:  91.32, Acc-val:  79.10, L-tr: 0.2450, L-val: 0.7455
INFO:root:018: Acc-tr:  89.78, Acc-val:  78.56, L-tr: 0.2870, L-val: 0.7638
INFO:root:019: Acc-tr:  89.25, Acc-val:  77.57, L-tr: 0.3107, L-val: 0.8363
INFO:root:020: Acc-tr:  99.21, Acc-val:  83.82, L-tr: 0.0440, L-val: 0.5622
INFO:root:021: Acc-tr:  99.63, Acc-val:  83.69, L-tr: 0.0299, L-val: 0.5870
INFO:root:022: Acc-tr:  99.78, Acc-val:  83.67, L-tr: 0.0227, L-val: 0.6017
INFO:root:023: Acc-tr:  99.86, Acc-val:  83.68, L-tr: 0.0178, L-val: 0.6212
INFO:root:024: Acc-tr:  99.92, Acc-val:  83.79, L-tr: 0.0138, L-val: 0.6338
INFO:root:025: Acc-tr:  99.93, Acc-val:  83.69, L-tr: 0.0120, L-val: 0.6477
INFO:root:026: Acc-tr:  99.95, Acc-val:  83.63, L-tr: 0.0098, L-val: 0.6581
INFO:root:027: Acc-tr:  99.97, Acc-val:  83.54, L-tr: 0.0085, L-val: 0.6705
INFO:root:028: Acc-tr:  99.98, Acc-val:  83.51, L-tr: 0.0073, L-val: 0.6803
INFO:root:029: Acc-tr:  99.99, Acc-val:  83.36, L-tr: 0.0065, L-val: 0.7003
INFO:root:030: Acc-tr:  99.99, Acc-val:  83.51, L-tr: 0.0056, L-val: 0.6990
INFO:root:031: Acc-tr: 100.00, Acc-val:  83.54, L-tr: 0.0049, L-val: 0.7038
INFO:root:032: Acc-tr: 100.00, Acc-val:  83.45, L-tr: 0.0044, L-val: 0.7150
INFO:root:033: Acc-tr: 100.00, Acc-val:  83.52, L-tr: 0.0041, L-val: 0.7231
INFO:root:034: Acc-tr: 100.00, Acc-val:  83.28, L-tr: 0.0039, L-val: 0.7253
INFO:root:035: Acc-tr: 100.00, Acc-val:  83.43, L-tr: 0.0035, L-val: 0.7277
INFO:root:036: Acc-tr: 100.00, Acc-val:  83.51, L-tr: 0.0032, L-val: 0.7374
INFO:root:037: Acc-tr: 100.00, Acc-val:  83.56, L-tr: 0.0030, L-val: 0.7363
INFO:root:038: Acc-tr: 100.00, Acc-val:  83.54, L-tr: 0.0029, L-val: 0.7443
INFO:root:039: Acc-tr: 100.00, Acc-val:  83.34, L-tr: 0.0026, L-val: 0.7509
INFO:root:040: Acc-tr: 100.00, Acc-val:  83.25, L-tr: 0.0026, L-val: 0.7502
INFO:root:041: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0025, L-val: 0.7489
INFO:root:042: Acc-tr: 100.00, Acc-val:  83.34, L-tr: 0.0025, L-val: 0.7479
INFO:root:043: Acc-tr: 100.00, Acc-val:  83.46, L-tr: 0.0025, L-val: 0.7480
INFO:root:044: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0026, L-val: 0.7543
INFO:root:045: Acc-tr: 100.00, Acc-val:  83.43, L-tr: 0.0024, L-val: 0.7496
INFO:root:046: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0025, L-val: 0.7432
INFO:root:047: Acc-tr: 100.00, Acc-val:  83.49, L-tr: 0.0024, L-val: 0.7507
INFO:root:048: Acc-tr: 100.00, Acc-val:  83.41, L-tr: 0.0024, L-val: 0.7527
INFO:root:049: Acc-tr: 100.00, Acc-val:  83.33, L-tr: 0.0024, L-val: 0.7532
INFO:root:050: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0024, L-val: 0.7521
INFO:root:051: Acc-tr: 100.00, Acc-val:  83.38, L-tr: 0.0024, L-val: 0.7499
INFO:root:052: Acc-tr: 100.00, Acc-val:  83.30, L-tr: 0.0024, L-val: 0.7498
INFO:root:053: Acc-tr: 100.00, Acc-val:  83.43, L-tr: 0.0023, L-val: 0.7508
INFO:root:054: Acc-tr: 100.00, Acc-val:  83.50, L-tr: 0.0024, L-val: 0.7492
INFO:root:055: Acc-tr: 100.00, Acc-val:  83.31, L-tr: 0.0023, L-val: 0.7507
INFO:root:056: Acc-tr: 100.00, Acc-val:  83.41, L-tr: 0.0023, L-val: 0.7519
INFO:root:057: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0024, L-val: 0.7500
INFO:root:058: Acc-tr: 100.00, Acc-val:  83.41, L-tr: 0.0023, L-val: 0.7498
INFO:root:059: Acc-tr: 100.00, Acc-val:  83.31, L-tr: 0.0023, L-val: 0.7496
INFO:root:060: Acc-tr: 100.00, Acc-val:  83.52, L-tr: 0.0023, L-val: 0.7526
INFO:root:061: Acc-tr: 100.00, Acc-val:  83.39, L-tr: 0.0023, L-val: 0.7509
INFO:root:062: Acc-tr: 100.00, Acc-val:  83.30, L-tr: 0.0023, L-val: 0.7540
INFO:root:063: Acc-tr: 100.00, Acc-val:  83.44, L-tr: 0.0023, L-val: 0.7549
INFO:root:064: Acc-tr: 100.00, Acc-val:  83.40, L-tr: 0.0023, L-val: 0.7533
INFO:root:065: Acc-tr: 100.00, Acc-val:  83.30, L-tr: 0.0023, L-val: 0.7519
INFO:root:066: Acc-tr: 100.00, Acc-val:  83.38, L-tr: 0.0023, L-val: 0.7546
INFO:root:067: Acc-tr: 100.00, Acc-val:  83.51, L-tr: 0.0024, L-val: 0.7503
INFO:root:068: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0023, L-val: 0.7524
INFO:root:069: Acc-tr: 100.00, Acc-val:  83.41, L-tr: 0.0023, L-val: 0.7521
INFO:root:070: Acc-tr: 100.00, Acc-val:  83.34, L-tr: 0.0023, L-val: 0.7496
INFO:root:071: Acc-tr: 100.00, Acc-val:  83.35, L-tr: 0.0022, L-val: 0.7563
INFO:root:072: Acc-tr: 100.00, Acc-val:  83.55, L-tr: 0.0023, L-val: 0.7565
INFO:root:073: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0023, L-val: 0.7535
INFO:root:074: Acc-tr: 100.00, Acc-val:  83.48, L-tr: 0.0022, L-val: 0.7535
INFO:root:075: Acc-tr: 100.00, Acc-val:  83.52, L-tr: 0.0023, L-val: 0.7520
INFO:root:076: Acc-tr: 100.00, Acc-val:  83.29, L-tr: 0.0023, L-val: 0.7579
INFO:root:077: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0024, L-val: 0.7508
INFO:root:078: Acc-tr: 100.00, Acc-val:  83.36, L-tr: 0.0022, L-val: 0.7530
INFO:root:079: Acc-tr: 100.00, Acc-val:  83.54, L-tr: 0.0023, L-val: 0.7540
INFO:root:080: Acc-tr: 100.00, Acc-val:  83.35, L-tr: 0.0023, L-val: 0.7539
INFO:root:081: Acc-tr: 100.00, Acc-val:  83.49, L-tr: 0.0024, L-val: 0.7526
INFO:root:082: Acc-tr: 100.00, Acc-val:  83.45, L-tr: 0.0023, L-val: 0.7573
INFO:root:083: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0023, L-val: 0.7529
INFO:root:084: Acc-tr: 100.00, Acc-val:  83.55, L-tr: 0.0024, L-val: 0.7518
INFO:root:085: Acc-tr: 100.00, Acc-val:  83.36, L-tr: 0.0022, L-val: 0.7525
INFO:root:086: Acc-tr: 100.00, Acc-val:  83.45, L-tr: 0.0023, L-val: 0.7539
INFO:root:087: Acc-tr: 100.00, Acc-val:  83.31, L-tr: 0.0023, L-val: 0.7560
INFO:root:088: Acc-tr: 100.00, Acc-val:  83.31, L-tr: 0.0023, L-val: 0.7558
INFO:root:089: Acc-tr: 100.00, Acc-val:  83.35, L-tr: 0.0022, L-val: 0.7529
INFO:root:090: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0024, L-val: 0.7530
INFO:root:091: Acc-tr: 100.00, Acc-val:  83.30, L-tr: 0.0023, L-val: 0.7534
INFO:root:092: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0022, L-val: 0.7522
INFO:root:093: Acc-tr: 100.00, Acc-val:  83.42, L-tr: 0.0022, L-val: 0.7556
INFO:root:094: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0024, L-val: 0.7547
INFO:root:095: Acc-tr: 100.00, Acc-val:  83.24, L-tr: 0.0023, L-val: 0.7527
INFO:root:096: Acc-tr: 100.00, Acc-val:  83.27, L-tr: 0.0023, L-val: 0.7580
INFO:root:097: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0023, L-val: 0.7537
INFO:root:098: Acc-tr: 100.00, Acc-val:  83.37, L-tr: 0.0022, L-val: 0.7563
INFO:root:099: Acc-tr: 100.00, Acc-val:  83.54, L-tr: 0.0023, L-val: 0.7502
