INFO:root:Number of parameters: 272282
INFO:root:000: Acc-tr:  53.72, Acc-val:  53.29, L-tr: 1.2958, L-val: 1.3143
INFO:root:001: Acc-tr:  65.45, Acc-val:  63.63, L-tr: 0.9828, L-val: 1.0325
INFO:root:002: Acc-tr:  72.06, Acc-val:  70.08, L-tr: 0.7945, L-val: 0.8614
INFO:root:003: Acc-tr:  70.39, Acc-val:  68.42, L-tr: 0.8660, L-val: 0.9481
INFO:root:004: Acc-tr:  71.23, Acc-val:  68.82, L-tr: 0.8887, L-val: 0.9792
INFO:root:005: Acc-tr:  80.60, Acc-val:  77.44, L-tr: 0.5512, L-val: 0.6611
INFO:root:006: Acc-tr:  81.24, Acc-val:  77.18, L-tr: 0.5459, L-val: 0.6868
INFO:root:007: Acc-tr:  80.83, Acc-val:  76.69, L-tr: 0.5627, L-val: 0.7179
INFO:root:008: Acc-tr:  81.96, Acc-val:  77.33, L-tr: 0.5394, L-val: 0.7150
INFO:root:009: Acc-tr:  84.67, Acc-val:  79.61, L-tr: 0.4316, L-val: 0.6220
INFO:root:010: Acc-tr:  85.34, Acc-val:  80.22, L-tr: 0.4251, L-val: 0.6131
INFO:root:011: Acc-tr:  85.19, Acc-val:  79.67, L-tr: 0.4278, L-val: 0.6602
INFO:root:012: Acc-tr:  84.70, Acc-val:  79.13, L-tr: 0.4561, L-val: 0.6787
INFO:root:013: Acc-tr:  88.66, Acc-val:  82.14, L-tr: 0.3242, L-val: 0.5512
INFO:root:014: Acc-tr:  85.03, Acc-val:  78.61, L-tr: 0.4202, L-val: 0.6721
INFO:root:015: Acc-tr:  88.27, Acc-val:  80.83, L-tr: 0.3339, L-val: 0.6098
INFO:root:016: Acc-tr:  86.68, Acc-val:  79.46, L-tr: 0.3799, L-val: 0.6618
INFO:root:017: Acc-tr:  88.16, Acc-val:  80.92, L-tr: 0.3352, L-val: 0.6121
INFO:root:018: Acc-tr:  90.86, Acc-val:  82.53, L-tr: 0.2559, L-val: 0.5583
INFO:root:019: Acc-tr:  88.66, Acc-val:  80.98, L-tr: 0.3270, L-val: 0.6296
INFO:root:020: Acc-tr:  95.64, Acc-val:  86.16, L-tr: 0.1314, L-val: 0.4490
INFO:root:021: Acc-tr:  96.13, Acc-val:  86.15, L-tr: 0.1157, L-val: 0.4572
INFO:root:022: Acc-tr:  96.17, Acc-val:  85.78, L-tr: 0.1135, L-val: 0.4733
INFO:root:023: Acc-tr:  96.75, Acc-val:  86.05, L-tr: 0.0995, L-val: 0.4721
INFO:root:024: Acc-tr:  96.81, Acc-val:  85.98, L-tr: 0.0957, L-val: 0.4855
INFO:root:025: Acc-tr:  97.11, Acc-val:  85.98, L-tr: 0.0873, L-val: 0.4879
INFO:root:026: Acc-tr:  97.25, Acc-val:  86.05, L-tr: 0.0843, L-val: 0.5017
